ppm_norm,asp.4
0.870639,0
0.87102,0
0.871402,0
0.871567555,0
0.871784,0
0.872165,0
0.872547,0
0.872667059,0.002593762
0.872929,0.001019932
0.87331,0
0.873692,0
0.873766562,0
0.874074,0.002148985
0.874455,0.00438983
0.874837,0.009325918
0.874866066,0.000929879
0.875219,0.000583686
0.8756,0
0.875965569,0
0.875982,0
0.876363,0
0.876745,0
0.877065073,0.004298628
0.877127,0.001253182
0.877508,0.001080009
0.87789,0
0.878164576,0.009555971
0.878272,0.0280862
0.878653,0.027811931
0.879035,0.014798396
0.87926408,0
0.879417,0
0.879798,0
0.88018,0.00350412
0.880363583,0
0.880562,0
0.880943,0
0.881325,0
0.881463087,0.004521399
0.881706,0.00534244
0.882088,0.005745683
0.88247,0.005064747
0.882562591,0.006156508
0.882851,0.00484797
0.883233,0.003790612
0.883615,0
0.883662094,0
0.883996,0
0.884378,0
0.88476,0.001076135
0.884761598,0.000207837
0.885141,0.000141746
0.885523,0
0.885861101,0
0.885904,0.005414699
0.886286,0.006741677
0.886668,0.011966359
0.886960605,0
0.887049,0
0.887431,0
0.887813,0
0.888060108,0.008015589
0.888194,0.001489076
0.888576,0.001273195
0.888958,0
0.889159612,0
0.889339,0.001780904
0.889721,0.002094106
0.890103,0.006302287
0.890259115,0.003679612
0.890484,0.004395773
0.890866,0.004656786
0.891247,0.003276423
0.891358619,0
0.891629,0
0.892011,0
0.892392,0
0.892458123,0.000603498
0.892774,0.000302283
0.893156,0
0.893537,0.002238053
0.893557626,0.009026833
0.893919,0.006868816
0.894301,0.003375754
0.89465713,0
0.894682,0
0.895064,0
0.895446,0
0.895756633,0
0.895827,0
0.896209,0
0.89659,0
0.896856137,0.013512176
0.896972,0
0.897354,0
0.897735,0
0.89795564,0
0.898117,0.001744231
0.898499,0.001910594
0.89888,0.007284895
0.899055144,0
0.899262,0
0.899644,0
0.900025,0
0.900154647,0.004832831
0.900407,0.010317789
0.900789,0.012917361
0.90117,0.019614908
0.901254151,0.01187916
0.901552,0.005212417
0.901933,0
0.902315,0
0.902353655,0.004074133
0.902697,0.006129425
0.903078,0.008703423
0.903453158,0.005317723
0.90346,0
0.903842,0
0.904223,0
0.904552662,0
0.904605,0
0.904987,0.000127723
0.905368,0.000609656
0.905652165,0
0.90575,0
0.906131,0
0.906513,0
0.906751669,0
0.906895,0
0.907276,0
0.907658,0
0.907851172,0.000515744
0.90804,7.33E-05
0.908421,0
0.908803,0
0.908950676,0
0.909185,0.006771545
0.909566,0.009143945
0.909948,0.007037399
0.910050179,0.004560457
0.91033,0.008404369
0.910711,0.010727372
0.911093,0.003576355
0.911149683,0
0.911474,0
0.911856,0
0.912238,0
0.912249187,0
0.912619,0
0.913001,0
0.91334869,0
0.913383,0
0.913764,0
0.914146,0
0.914448194,0
0.914528,0.007871843
0.914909,0.007400607
0.915291,0.004827027
0.915547697,0
0.915673,0
0.916054,0
0.916436,0
0.916647201,0.006459427
0.916817,0.01204808
0.917199,0.012518898
0.917581,0.022795126
0.917746704,0.0167797
0.917962,0.003276153
0.918344,0
0.918726,0
0.918846208,0.008386402
0.919107,0.013203124
0.919489,0.015395504
0.919871,0
0.919945712,0
0.920252,0
0.920634,0
